,Level,Type_of_Job,Description
1,Mid-Senior level,Full-time,"SENIOR VICE PRESIDENT, DATA SCIENCE AND ANALYTICS GREATER LOS ANGELES AREA $200,000-$240,000 Base Salary  THE COMPANY Start up founded in 2002 and has over 200 employees currently Provides customer engagement programs and digital solutions Team of data analysts, data scientists, and software engineers   THE ROLE As the SVP of Data Science and analytics, you will… Support marketing with data science and analytics for customer acquisition, brand building, etc. Lead and implement the company's analytics, data science & insights function Use data to drive decision making, insights, and personalization and recommendation for customers Lead a team of data analysts, software engineers, and data scientists Support the company with advanced analytics including adhoc requests, data visualization, and dashboarding   YOUR SKILLS & EXPERIENCE Multiple years of experience leading and building out technical teams in areas of data science, analytics, or engineering Hands on experience with predictive modeling, algorithm development, and visualization Experience being client facing and interacting with non technical parties Previous experience with interacting with stakeholders and being involved with strategy planning of the company   THE BENEFITS As the SVP of Data Science and Analytics, you can expect a base salary between $200,000 to $240,000  (based on experience) plus competitive benefits.   HOW TO APPLY Please register your interest by sending your CV to Kristianna Chung via the Apply link on this page.  "
2,Mid-Senior level,Full-time,"OverviewLead all Data Science activities including research, software, automation, machine learning, creation of algorithmic models, physics, mathematics, probability and statistics, and predicative data analysis. Create an environment where integration of new / emerging AI / ML technologies is a primary focus. Collaborate with electrical, mechanical, and software engineering to ensure proper enhancement and implementation of data science deliverables. Manage, motivate, and mentor technical professionals ranging from first year engineer’s to seasoned PhD’s.Responsibilities Oversee research leading to scientific understanding of threats found in pipelines. Guide development / improvements in identification, location, recognition, classification, sizing, accuracy, and visualization of threats. Develop strategy for maintenance and use of data, development of algorithms, verification and validation of models, and correlation of data. Manage development and implementation of models and applications based on scientific proof leading to advancements in analysis and interpretation of data. Lead continuous improvement through creation of feedback mechanism of models and applications being exercised in operations. Adapt automation and machine learning technologies to active and future programs / applications to enhance functionality. Develop team members by sharing industry knowledge of automation and machine learning principles and practices. Lead / mentor cross-functional collaboration, communication, and personnel development. Ensure collaboration with all organizations throughout the development process. Manage project prioritization / execution in an Agile environment.QualificationsDemonstrable managerial experience developing and implementing automation and machine learning strategy leading to winning outcomes is required.Bachelor’s degree required. Master’s or doctoral degree preferred.Data Science, Engineering, Mathematics, Physics, Computer Science, or equivalentMinimum 10 years post degree technical experience requiredMinimum 5 years’ experience managing technical teams3 – 5 years’ experience managing projects (scope, schedule, budget) preferredKnowledge of inline pipeline inspection, magnetics, and EMAT technologies a plusExcellent communication and presentation skillsOptionsApply for this job online ApplyShareRefer this job to a friend ReferSorry the Share function is not working properly at this moment. Please refresh the page and try again later.Share on your newsfeed Join our Talent Network! We're always looking for great people to join our team. If you didn't see a position that catches your interest please join our Talent Network . This will allow you to self identify your expertise and areas of interest."
3,Internship,Full-time,"JMA is currently seeking a Data Scientist Intern to join the Business Analytics Team in our San Francisco office. Our team is tasked with absorbing millions of rows of data from various of sources, organizing them, visualizing them, and analyzing them to help inform decision-making and investment strategies. You will be tasked with transforming complex and not always structured data sets into actionable insight for our acquisitions team. We want you to use that intuition you’ve developed (both in business and real life) to use the data we have on hand to find opportunities for growth and to develop insights that help the organization meet its investment goals, improve its performance, and positively impact the bottom line in the real estate market.Once you’re here, you’ll help engineer, analyze, and report on data to improve and streamline the due diligence process. Your work will provide digestible insights for acquisition leaders and JMA executives.What You Will DoBuild price prediction models for property value growthBuild cost prediction models for real estate developmentCollaborate with acquisitions and asset management teams to integrate your model outputsAs an early member, help set the culture, processes and tools of the data science teamWhat We Are Looking ForEducation and Prior ExperienceBS/BA required. Enrolled in a graduate program of study as a full-time studentExperience through thesis research, internships, or work experience in a science, technology, engineering or mathematics (STEM) related field, such as:Computational social scienceComputer scienceData analyticsEconomicsEngineeringGeospatial analysisMathematicsOperations researchPhysicsQuantitative financeStatisticsPrevious experience in quantitative fields including predictive modeling, statistics, financeSome experience in real estate is preferred, but not necessaryTechnical SkillsStrong quantitative, analytical, and problem-solving skillsStrong proficiency in Microsoft Excel, database management, VBA, AWS, SQLStrong proficiency in R or PythonFamiliar with GIS software and location-based data setsPersonal SkillsAbility to think and act independently to assess and prioritize new opportunities and present findings to acquisition and senior management teamsDemonstrated ability to lead and complete predictive modeling and data science related projectsSelf-starter and strong work ethic with willingness to work in a demanding, highly focused, and collaborative environmentPragmatic and gets things doneRequired EducationMaster’s educationRequired ExperienceMachine Learning, Statistics, Predictive Modeling: 1 yearWho We AreJMA is a full-service investment and development firm focusing on real estate and leisure-lifestyle assets. We work on every project scope from concept and entitlement through completion and operation. Our portfolio includes landmark properties that span hospitality, resort, destination, residential, retail, office and commercial developments. We believe their success is founded on our team’s keen understanding of the user experience and a deep knowledge of trends, tastes and desires that drive the creation of truly unique places. As a company and as members of the communities we build in, we have a firm commitment to sustainability and a responsibility to better the neighborhoods we work in – both environmentally and economically."
4,Internship,Full-time,"Global food security is top of mind here for us at Gro Intelligence. The world could face a food deficit of 214 trillion calories per year by 2027! We believe the key to ensuring cheap and abundant food is data –enabling discovery, analysis, predictions, and better decision making in food and agriculture. That’s why we’ve built Gro, the largest agricultural data and analytics –with hundreds of trillions of data points from sources all over the world, a number that is doubling every six months. We are looking for a dedicated Data Science intern to join us this summer to work on some exciting projects with us.What You'll Do Develop original computational models to predict agricultural and environmental performance and conditions using geospatial, weather, crop, trade, and pricing data. Develop systems and techniques for very large scale computations Work with scientists, analysts and engineers to integrate local and sector specific factors and work closely with specialists in the field to further internal product development and external collaborations Do original research on machine learning models and algorithms, working with closely with research scientists Understand and contribute to the advancement of the state of the art in academic and industry research What You Have Experience with “big data” computation (parallel processing, distributed storage) Strong computer science fundamental (data structures and algorithms) Strong understanding of statistics, mathematics Experience with natural language processing Ability to work in Python, Java, C++ Familiarity with statistical modeling tools (R, MatLab) Ability to work collaboratively with team members across functional roles and strong communication and leadership skills. Passion for solving high impact problems with data driven tools. Educational Requirements/experienceEarning a Graduate degree in Engineering, Computer Science, Math, Statistics, Physics or related fieldWho You Are Smart, excellent problem solving skills Curious, love for turning ideas into reality Productive, self motivated Creative, collaborative, diligent Strong attention to detail with ability to understand the big picture Learner, interested in new skills and adapting to new technologies Ability to work with geographically distributed and culturally diverse team Gro Intelligence is proud to be an equal opportunity employer and will consider all qualified applicants regardless of color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, actual or presumed belonging to an ethnic group, or any other legally protected status. If you have a disability or special need that requires accommodation, please let us know."
5,Mid-Senior level,Full-time,"Build and lead a team of data scientists to partner with cross-functional teams across the organization from product to marketing to engineering. Work closely with product managers, marketing, designers, and engineers to prioritize data projects which will maximize business impact and inform product strategy and planning. Be hands-on in conducting AB test analysis and provide actionable insights regarding product/UX changes for user onboarding, engagement, retention, and monetization. Dive deep into product usage patterns and develop domain expertise about segments of user behaviors and interests for online news and content. Help create and improve predictive models (e.g. predict user lifetime value or user churn). REQUIREMENTS  Technical university degree or equivalent knowledge Experience managing a team focused on data science / analytics Strong communication and leadership skills 5 or more years of analytical work experience related to apps or websites 3 or more years experience in one or more programming languages used for data analysis (Python, R, etc.) Advanced SQL Intermediate knowledge of applied statistics (fit regression curves, build predictive models, choose sample sizes, etc.) Experience with A/B testing"
6,Mid-Senior level,Full-time,"JCW is currently recruiting on behalf of a leading insurance company, who are looking for a Data Science Manager to help lead a team of Data Scientists whilst driving forward the data and analytics program.   Responsibilities include:  You will lead a team of data scientists responsible for      the design, implementation and testing of predictive and prescriptive      analytic models. Work closely with senior management to explain what the      data shows and the capabilities of it for company growth and revenue. Partner with multiple teams across the business to      identify and explore new opportunities utilize machine learning and AI      applications.  Qualifications needed   Master's degree in Computer Science or similar field.      PhD preferred.  Strong experience with Python is preferred.  Comfortable working closely with senior business      leaders to show the value of data for the company’s growth.  Any experience working on Dataiku's machine learning      platform or similar platforms is preferred.      Jack Fisher recruits exclusively for IT & Cyber professionals across the financial services and professional services sectors. For more information regarding this position please contact Jack Fisher at           646 517 8608   or jack.fisher@jcwresourcing.com."
7,Internship,Internship,"Job Description:The Data Scientist is responsible for clarifying requirements and transforming data into actionable insights, work on innovative projects, combine expert statistical modeling knowledge with data science and analytics, including demand forecasting, operational analytics, and pricing optimization. In this role, you will work with a wide range of stakeholders and functional teams and must have a proven ability to drive business results with your data-based insights.Qualifications:Master’s or Bachelor’s Degree in a technical field (Data Science, Statistics, Operations Research, Math, Physics, Engineering, Business Analytics) from an accredited institution AND minimum of two (2) years’ of work experience with engineering, statistical methodology and analysisMinimum of five (2) years’ of work experience with engineering, statistical methodology and analysisDescription:Engage with business teams to find opportunities, understand requirements, and translate those requirements into technical solutionsDesign data science approach, applying tried-and-true techniques or developing custom algorithms as needed by the business problemCollaborate with data engineers and platform architects to implement robust production real-time and batch decisioning solutionsEnsure operational and business metric health by monitoring production decision pointsInvestigate adversarial trends, identify behavior patterns, and respond with agile logic changesCommunicate results of analyses to business partners and executivesResearch new technologies and methods across data science, data engineering, and data visualization to improve the technical capabilities of the team"
8,Internship,Full-time,"Worker Sub-TypeStudent (Fixed Term)Job DescriptionTHE POSITIONCylance is seeking Data Science interns who will work with machine learning at the heart of its products during the Summer of 2019. Prior experience in security is a plus, but not necessary; the right candidate will be able to gain domain expertise during the internship, surrounded by some of the computer security industry’s leading minds.At Cylance, we develop state-of-the-art machine learning techniques to solve long-standing problems in computer security. We discover novel ML techniques and applications, build systems to handle petabytes of ludicrously high dimensional data, and protect people from bad guys. We protect millions of computers from security threats, and as an intern here, you’ll do real, meaningful research. Previous interns have seen their work directly impact our products, have published papers based on their research at Cylance, or have been inventor on a patent application related to their work.The Data Science team is a critical, highly visible, and high-impact team within the company. The team brings together experts from machine learning, stats, computer science, computer security, and various applied sciences, with backgrounds including deep learning, Bayesian statistics, time-series modeling, topology, scalable data processing, and software engineering.What You Will DoApply, improve, and invent machine learning techniques to solve important problems in computer securityWrite maintainable, readable code for running experiments and proofs-of-conceptsWork with very large datasets, often with millions of dimensionsCollaborate closely with other data scientists and security expertsWho We Are Looking ForCurrent PhD and Master’s students studying machine learning, statistics, or related fields; PhD students are strongly preferredStrong math skills in general, especially linear algebra and statisticsExperience with PythonExcellent communication skills, clearly conveying ideas to others in speech and in writingKindness, and a deep willingness to help and collaborate with othersABOVE AND BEYONDIndustry experienceExperience working with the following:Python, and libraries like sklearn, numpy, scipy, pytorch, and tensorflow.Various other languages, including Scala, C/C++, C#, Java, and x86 assembly.GitSparkVarious AWS services, like EC2 and S3What We Need From You To ApplyCurrent resumeCover letter/summary expressing:Why you are interested in working at CylanceThe skills, strengths and expertise you will contribute to our diverse team of extraordinary talent and humble heartsJob Family Group NameBusiness Practices & OperationsScheduled Weekly Hours40"
9,Internship,Internship,"At Carta, we design products that transform the way hospitals use data to deliver care. We make analyzing data fast, easy, and useful for everyone. We're looking for Data Scientists skilled at rapid iteration and excited about solving problems that can save lives. This is a startup role, where we will ask you to wear many hats and solve many different types of problems.Best of all, when we say Data Science Internship, we mean Data Science internship--no grunt work, no code cleanup, no bug fixes. Like kaggle, you'll be solving incredibly interesting Data Science puzzles but, unlike kaggle, every puzzle you solve will measurably help save people's lives and save our healthcare system. We'll give you a unique experience to see how far you can push your Data Science skills that you won't be able to find anywhere else.You love solving complex engineering problems, by creating beautiful, and well-tested algorithms. You're a positive individual who leads by example, drives conceptual thinking, and brings a curiosity and experimental approach to solving engineering challenges. You enjoy building new features and writing elegant code. If this describes you--you belong at Carta.We have open positions in Fall and Winter and we will be reaching out to you in July regarding this role.Excited to talk to you!"
10,Mid-Senior level,Full-time,"Feedzai is the market leader in managing financial risk with AI. Were coding the future of commerce with todays most advanced risk management platform powered by big data and machine learning. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe. The worlds largest banks, processors, and retailers use Feedzais fraud prevention and anti-money laundering products to manage risk, while improving customer Experience.The Customer Success team ensures our global customers achieve their business goals using our product. Everything you do matters: all your code, machine learning models, advisory, management, and other actions/roles will have a material impact on the way our clients run their business and how effectively we fight fraud and protect people from wrongdoing. You will be able to interact and meet many people from widely different cultures around the world and understand the business like few others. You will be able to say you protect people on a daily basis. You will be challenged with new technology, new processes, and new mindsets and will be asked to contribute to ensure continuous improvement. Come and change the world with us.You will be managing a distributed team of up to six (6) Data Scientists who are part of our client delivery team. The teams mission is to take on complex fraud detection problems for our enterprise level clients using Feedzais unique product and platform. In addition, the team is tasked with creatively developing and coding innovative data science solutions for our clients that can be generalized as product enhancements. Our client delivery team works with clients all over the USA. Each client project takes between 6 and 12 months to complete.Responsibilities Provide guidance to our Product and Research teams based on insights and models developed for individual clients Own the data science relationship with the client for up to 2 client projects Effectively understand business objectives and communicating data science insights and progress to a non-technical audience  Implement Feedzai's machine learning algorithm into our clients data feeds Contribute to the team knowledge by keeping up with the state-of-the-art in machine learning applied to our domains Build out and manage the new employee experience on this team Conduct the performance management process for this team  Qualifications You have a PhD, in CS, Physics, Engineering, Stats, or similar technical discipline You have experience with a range of statistical and machine learning techniques, ideally via open source libraries and proprietary models. You have experience managing teams  You can code proficiently in R/Python and an object-oriented language You have experience with big data platforms such as Hadoop, MapReduce, Spark, Hive, and Pig You are comfortable presenting to non-technical customers. Experience with building models for fraudulent financial transactions is highly valued Feedzai is an Equal Opportunity Employer.Feedzai does not accept unsolicited resumes from recruiters or employment agencies.PM19"
