,Level,Type_of_Job,Description
1,Not Applicable,Full-time,"The Sr Data Engineering team at Glu builds core data infrastructure and applications in support of all areas of our business, including our studio teams, user acquisition, monetization and finance. Glu is passionate about maximizing the value that data and analytics can provide to the business and is aggressively investing in new capabilities. Our team covers a lot of ground from data ingestion through to machine learning applications.We leverage a cutting-edge tech stack to build both batch systems (YARN+Spark/Hive) and stream processing applications (Kinesis/Flink/Spark Streaming/Druid) that operate efficiently at high scale. The ideal candidate has a strong engineering background and has built robust data platforms and pipelines and takes complete ownership of their area of expertise. This is a fantastic opportunity to use your engineering skills to make a material impact on a highly valued analytics platformYou'll Most Often BeTake ownership of and develop critical new features for our next-generation analytics platform, supporting Glu's worldwide studios and central functions such as marketing and finance. Build scalable, accurate and extensible stream processing applications using cutting-edge technology such as Spark Streaming and Apache Flink.Implement complex and highly scalable end-to-end data pipelines, using Elastic Beanstalk, Kinesis, EMR, Spark, Hive, Druid, Cassandra.Build data support for our personalization and experimentation efforts, solving problems from statistical test automation to building real-time M/L applications. And Your Skills And Experience IncludeBachelor's degree in computer science/mathematics/engineering, or other fields with proven engineering experience. More than 6 years of software engineering experience, especially working on back-end data infrastructure. Proficiency with at least one of the following languages: Java, Python, Scala. Experience with distributed stream processing technologies such as Flink, Spark Streaming and/or Kafka Streams. Experience with AWS Ecosystem, especially Kinesis, EMR, Lambda, and Glue.Knowledge of NoSQL application data stores i.e. Druid, HBase, Cassandra, DynamoDB, Redis. .Bonus PointsExperience with high-scale machine learning, I.e. Spark M/L, SageMaker, etc. Experience with SQL and SQL-like languages, especially Hive. Experience with CI/CD process, testing framework, and containerization technologyExperience building data-rich web applications, especially with technologies like Angular, Node.js , and Elastic Beanstalkhttps://i.imgur.com/4k9wIxl.jpghttps://i.imgur.com/4k9wIxl.jpg"
2,Director,Full-time,"Intelletec has teamed up with a tech firm on a mission to solve the biggest, most intractable challenges of enterprise software. They envision the rise of the Self-Driving Enterprise: a more autonomously functioning business with a central operating system that connects and orchestrates business operations. Due to rapid growth, they are looking to hire a Director of Data Science to grow their operation across the US and build out a world class data science team The Company Backed by some of the world’s best investors with $94 million for growth and research At the forefront of cognitive automation, transforming the way we work using Artificial Intelligence Deliver the technology that enables the Self-Driving Enterprise: a cognitive operating system that connects you with your business and autonomously orchestrates your operations Serves the Global 1000 from 8 offices, and is headquartered in Mountain View, California The role Base out of global headquareters in Mountain View, California or San Francisco offices Reports into the Co-founder / CTO of the organization Leading a Data Science function with high visibility and strategic impact Take on and lead large cutting edge data science projects, from inception to completion being somewhat hands-on Collaborate with other team members to build data-science products and services You will be working on new and challenging data science applications, using Machine Learning to solve complex business problems  What you need to succeed: Excellent leadership and communication skills, comfortable articulating technical terminoly in layman terms to key stakeholders, clients and influencers Leading a Data Science function and having experience of managing global teams  10-15 years of professional experience as a Machine Learning Engineer/Data Scientist; preferably in a product development setting Master’s or PhD Degree in Computer Science, Mathematics, Statistics or a related quantitative field with a focus on Machine Learning or Deep Learning. Ph.D. preferred Good intuitive understanding of machine learning algorithms and practical experience building models with incremental/iterative approach Hands-on experience with machine learning toolkits such as scikit-learn and TensorFlow Hands-on experience with software development, including translating ML models into scalable production services Experience working with cloud platforms such as AWS, and Google Cloud Platform and distributed computing technologies such as Apache Spark  If you share a passion for building the next generation of enterprise software and implementing it for the most sophisticated customers in the world, you’ve met your match.  Market leading package available."
3,Director,Full-time,"Lawrence Harvey are currently partnered on an exclusive basis with one of the worlds most prestigious management consultancies.  Together, we are searching for a Senior Director of Data Science and Analytic to join them on a permanent basis.  This position will cover the entire MidWest Region, this role can be based in either Michigan, Ohio, Illinois or Indiana.  In this role your responsibilities will include: Working with a number of teams from across the business (including Sales, Accounts, Marketing) to increase client awareness and ensure every group has the support needed throughout all phases on client on boarding. Work closely with a portfolio of clients ensuring the highest quality of support and delivery for all solutions. Managing budget and PnL for the entire region.  To qualify for this role you must have a comparable background to this: A proven track record in leadership, this includes managing existing staff and growing the current headcount effectively. An extensive background within Analytic, coming from a hands on background ideally. Experience in a revenue generating role will be a huge asset Experience within Manufacturing will be a plus.  If this seems like the kind of position you could be interested in, please follow the link and apply.     Email: C.walker@lawrenceharvey.com"
4,Not Applicable,Full-time,"We are looking for a Data Scientist with experience applying Data Science processes and tools to solve real-world problems for our customers in the Federal, Defense, and Intelligence sectors. ResponsibilitiesWork with stakeholders throughout the organization to identify opportunities for leveraging Publicly Available Information (PAI) as well as Federal, Defense, and Intelligence data.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.QualificationsStrong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.Minimum RequirementsUS CitizenshipMust qualify for a security clearance from the U.S. Department of Defense. Take the quiz available here: https://bit.ly/2NMh1Pj.B.S. in a field of Science, Technology, Engineering, or MathematicsPreferencesActive clearance with the Department of DefenseM.S. or Ph.D. in a field of Science, Technology, Engineering, or Mathematics10+ years of work experienceExperience with DoD/IC Information SystemsExperience with Big Data software projects (e.g. Hadoop, Spark, Kafka, Elasticsearch)Raptics, Inc. is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
5,Entry level,Full-time,"In order to be considered for this position please send a copy of your CV/Resume and Cover Letter, along with two professional references to jobs@bammnewyork.com. The deadline to apply is August 16th, 2019.About BAMM:Based in NYC and London, BAMM fuels Brand Momentum by pushing at the boundaries of research – developing new methodologies, speaking with unexpected people, asking surprising questions and incorporating the latest technology into our work. We draw from a deep appreciation of commercial strategy, the latest thinking on marketing and the social sciences.Your Role:BAMM has an opportunity for a Data Scientist to join our growing New York office. We’re looking for an ambitious data and statistics specialist, with 2-3 years’ experience, who’s eager to apply data science approaches to big, strategic insights projects for the world’s leading brands, and for the freedom and support to help us build a robust, innovative, industry-leading data science practice.This role offers the opportunity to work across big brands on big strategic questions, and to work with a collaborative, multi-disciplinary team of ethnographers, photojournalists, cultural anthropologists, survey builders, behavioral scientists, and strategists. We’re looking for candidates who have the energy and desire to innovate, who want a new set of client challenges to solve, and who are interested in combining data-led techniques with leading edge ethnography and behavioral science. We will provide the space, support and culture to help ensure success.Your Responsibilities: Help lead the design & execution of data-oriented client projects (including text analysis, predictive modeling, segmentation, conjoint analysis, test & learn) Help build out and lead our data science innovation agendaHelp build out our data resourcesHelp build out our data tools, working with our developerHelp create PowerPoint storylines for client projects that drive consumer, cultural and brand understanding from data analysisAttend client meetings, and help respond to client questions and requests when needed Attend and contribute to all internal team meetings and brainstormsKeep abreast of the newest resources, approaches and techniques in data, statistics and analyticsQualified candidates will have:Undergraduate degree (ideally in mathematics, statistics, or a related degree)Strong academic background2-3 years of relevant work experienceDemonstrable, advanced quantitative analysis and statistics skills In-depth knowledge of at least one of the key data analysis platforms (e.g. Python, R, SPSS)Ability to build analyses for different data types (big data sets, survey data, time series data)Ability to pull out compelling insights from the dataHigh attention to detail without sacrificing the big pictureAbility to work across multiple projects while meeting deadlinesStrong interpersonal and communication skills, and a collaborative, constructive approachNatural interest in the data science field and how it’s changingWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
6,Not Applicable,Contract,"•	Big data full stack engineers  – who are conversant with Apache Spark, Scala, Kafka & HBase.•	Emphasis on search capability / search optimization •	Experience working in an Agile environment o	3rd party – Streamset & Naveda o	SQL Server •	Web Services – Spring Boot •	DevOps – Chef 11/12, Dockers•	Data gather & pusher – Caska •	Working w/Data Science Group – Modeling & Scoring "
7,Mid-Senior level,Full-time,"We are seeking healthcare analytics lead to support all analytics needs with respect to a growing portfolio of health plan customers and physicianMSO partners. The analyst will take the lead on complex analyses that will lead to critical business decisions at the onset of a new client relationship, as well as on an ongoing basis to help address ongoing medical management operational needs. While this is a highly collaborative role on a growing team, this is a highly analytical, self-directed role requiring healthcare/medical economics experience, both critical and strategic thinking skills, attention to detail, and an ability to manage multiple projects in a fast-paced environment.Job DescriptionEssential FunctionsResearch, analyze present results and recommend intelligent solutions to solve problems and address business challenges by applying knowledge of medical claims analysis, critical-thinking skills, and healthcare experience/expertise. This may range from developing proposals to new and existing clients to clinical quality and utilization management projects, to new initiatives that you may come up with yourself.• Structure analytical results in an organized, visual manner to tell a meaningful, actionable story.• Write SQL queries, create end-user reports, and apply varying analytical techniques to solve specific business problems.• Determining credibility and usability of claims data prior to delivery of analytic results.• Interpret contractual language and have a clear understanding of business rules and reporting requirements• Establish trusting professional relationships with internal senior business customers.• Maintain alignment of expectations and priorities in an autonomous fashion.QualificationsThe Healthcare Analytics team functions as a compilation of three main components: (1) the liaison between the data warehouse teams and all internal and external clients that are supported by Healthcare Analytics including: finance, operations, clinical, and external clients by overseeing that contractual business rules are correctly applied to raw data and that end-user reporting is accurate (2) traditional medical economics support: combining deep knowledge of medical claims and other data with understanding of healthcare payment systems to drive actionable insights and collaboration with actuarial (3) advanced analytics: statistical modeling, development of risk adjustment metrics, ad-hoc studies with Data Science.• An undergraduate degree is required, master’s preferred in math, statistics, computer science, or another related quantitative field• Minimum of 4 years of experience or proven ability working as an analyst in the health care industry with medical claims, membership, and provider data.Proven experience working with some combination of Medicare, Medicaid, and Commercial paid claims data sets. Other applicable data sets include Census and Member Eligibility data sets.• Reasonable experience with Structured Query Language (SQL) required.• Advanced analytic skills with the ability to build statistical and predictive models to help support business decisions• Ability to analyze and interpret medical claims data through complex analysis that leads to strategic business decisions• Experience in data mining, statistical analysis, and data transformation/manipulation.• Experience working with large data repositories and/or relational databases.• Expertise in MS Excel, with proficiency using formulas, PivotTables, linked worksheets, graphing and other reporting and presentation features.• Ability to tell a succinct, meaningful, and actionable story with data using visualization and other techniques.• Ability to work on multiple projects simultaneously with minimal supervision.• Ability to quickly adapt to changes in both technology and business environments.• Ability to analyze data and apply investigative skills in resolving issues.• Ability to produce clear, written presentations and supporting documentation.• Highly self-motivated and directed with keen attention to detail."
8,Entry level,Full-time,"In order to be considered for this position please send a copy of your CV/Resume and Cover Letter, along with two professional references to jobs@bammnewyork.com. The deadline to apply is August 16th, 2019.About BAMM:Based in NYC and London, BAMM fuels Brand Momentum by pushing at the boundaries of research – developing new methodologies, speaking with unexpected people, asking surprising questions and incorporating the latest technology into our work. We draw from a deep appreciation of commercial strategy, the latest thinking on marketing and the social sciences.Your Role:BAMM has an opportunity for a qualitative researcher to join our growing New York City office. We’re looking for an ambitious qualitative research specialist, with 2-3 years’ experience, who’s eager to work on big, strategic insights projects for the world’s leading brands. Ideally, we’re looking for candidates who have ethnographic or anthropological experience.This role offers the opportunity to work across big brands on big strategic questions, and to work with a collaborative, multi-disciplinary team of ethnographers, photojournalists, cultural anthropologists, survey builders, behavioral scientists, and strategists. We’re looking for candidates who have the energy and desire to innovate in the qualitative research space, who want to find new, smarter ways to solve client challenges, and who are interested in combining ethnographic techniques with leading edge data science and behavioral science. We will provide the space, support and culture to help ensure success.Your Responsibilities: Help lead the design and execution of the ethnographic & qualitative portions of client projects Help build out and lead our qualitative research innovation agendaHelp build new ethnographic and qualitative products & techniquesHelp create PowerPoint storylines for client projects that drive consumer, cultural and brand understanding Attend client meetings, and help respond to client questions and requests when needed Attend and contribute to all internal team meetings and brainstormsKeep abreast of the newest resources, approaches and techniques in data, statistics and analyticsQualified candidates will have:Undergraduate degree (ideally in anthropology, psychology or sociology)Strong academic background2-3 years of relevant work experienceDemonstrable qualitative/ethnographic research skillsIn-depth knowledge of observational, projective, and consumer interview techniquesAbility to pull out compelling insights from the researchHigh attention to detail without sacrificing the big pictureAbility to work across multiple projects while meeting deadlinesStrong interpersonal and communication skills, and a collaborative, constructive approachNatural interest in consumers, how they live their lives, how the culture around them is changingWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
9,Entry level,Full-time,"Duties Description The New York State Department of Taxation and Finance is an internationally recognized leader in tax administration. Our mission is to efficiently collect tax revenues in support of state services and programs while acting with integrity and fairness in the administration of the tax laws of New York State.As a national and global leader in tax administration, we recognize and understand the value of data. Annually, we: process over 26 million tax returns for over 40 different tax types; collect over $126 billion dollars in revenues for New York State and over 70 different localities; issue over 10 million refunds; collect over a billion unique data points through our returns processing systems; receive third-party data from dozens of external sources; and generate substantial data from our operations and interactions with taxpayers.Our Data Analytics group is essential to ensuring that we effectively and efficiently harness this data to improve tax policy, combat tax fraud, promote voluntary compliance with the tax law, further modernize enforcement operations and enhance taxpayer services.As a data-driven organization, we are searching for candidates to join our data analytics team and help us optimize our data assets and analytic capabilities through the implementation of analytic use cases.The successful candidate will be assigned to a team that will be evaluating our current models and methods to determine how best to leverage our current assets, creating new use case models that will enhance future success. Work with business units (e.g., audit, collections, processing, taxpayer services) across the Department to develop and build models in support of analytic use cases Provide input on current approaches, making recommendations on improvements to ensure they best achieve goals. Review and suggest improvements to current or planned systems and processes Perform data extraction, aggregation, and quality checks from multiple sources and tables in support of trend identification and root cause analysis Collaborate with other data analytic staff to developing solutionsMinimum Qualifications  Demonstrated skills through coursework and professional experience in Data Science, Computer Science, Economics, Statistics, and/or Mathematics; Experience with statistical and analytic modeling software and data extraction and visualization tools (SPSS modeler, SAS, STATA, Python, R, Tableau or similar products) Familiarity with solution architecture, design, development and understanding of data life cycle: data acquisition, data quality management, data governance, machine learning and metadata management Creative and innovative with demonstrated ability to compare and analyze different tools and technologies, resulting in sound recommendations and solutions Strong written and oral communication skills Capable of articulating new ideas to technical and non-technical groups Experience collaborating effectively with others, preferably in developing, implementing and assessing analytics-driven solutions. An affinity towards teamwork, continuous learning and public service"
10,Associate,Full-time,"Analyst: Data Science (ADS)The Analyst for Data Scientist (ADS) will help the client build a sustainable data classification and reporting apparatus for a dispersed global team. The Analyst will be responsible for conducting statistical analysis and optimization of financial and non-financial data available within the client's security department. The ADS will work with stakeholders across the globe and execute complex statistical analyses in support of operational programming including travel and intelligence. The Analyst will prepare data visualizations, use algorithms, or create simulations to discover and classify patterns that help in business decision making and presenting findings to business audiences.FocusThe focus for this role is in translating complex data into meaningful and digestible insights for a broad and diverse audience of clients and decision-makers across the organization. The Analyst will support existing and bespoke programs through analysis of large disparate datasets such as log files of activity or aggregated lists of incidents. A previous background in security, investigations, cyber security, anomaly detection (such as outliers) or similar is advantageous.Key Responsibilities Develop analysis-ready datasets by ingesting, staging, curating, mining, combining, cleansing, transforming, and analyzing data from a multitude of structured and unstructured disparate data sources Must be able to build a data science program from disparate analytical parts Attend meetings and provide the necessary support to ensure new projects are provide with the necessary data and/or insights to make informed and timely decisions Partner closely with team members to ensure the success of key initiatives related to data source management and development for network design, key performance indicator monitoring, and business integration Lead projects directly related to designing, testing, and deploying analytical solutions or initiatives Serve as data management point of contact for collaborative initiatives within the department Perform other duties and analysis as assigned by management Qualifications: Strong background in statistical techniques such as parameter estimation and hypothesis testing is required. Requirements also include programming experience for data analysis, data processing, and statistical tools such as SQL (Working knowledge of: Oracle, SAS, Hadoop Platform, R, or Python). Fluency in English and very good written and verbal communication skills are necessary. A minimum of a Bachelor's Degree is required (Analytics, Data Science, Statistics, Computer Science, Information Technology, Engineering, or similar field. MS or MBA preferred) Minimum three years of related experience in logistics, analytics, data science, or data management is required Knowledge of relational databases Solid ability to clean, transform, and join both structured and unstructured data sets to deliver analysis  Knowledge of advanced analytical visualization software  Project management experience required A solid understanding of the data science industry Physical/Mental Requirements And Working Environment While performing the duties of this job, the employee is regularly required to use both hands, is frequently required to stand, sit, stoop, talk and hear (communicate verbally in person and via regular telephone equipment), and must be able to read computer screens, correspondence and reports in English.  The employee must constantly walk, stand, reach with both hands and arms, and must be able to drive a vehicle. The employee may occasionally lift and/or move up to 25 pounds. May be required to climb stairs on an intermittent basis at client sites.  The job is generally performed in an office setting; however, during site visits the employee may be subject to adverse conditions such as rain, cold or heat for short periods of time.  The ambient noise level is usually quiet, consisting of normal conversations, business machines (copiers, printers, etc.) and telephones, but occasionally may be above-normal for portions of the shift. The employee must be able to concentrate on details, work under deadline pressures, apply sound logic and judgment, and prioritize tasks and responsibilities.  Must be able to focus and multi-task in a busy environment, with the ability to successfully handle stressful situations in a calm and professional manner. Includes being able to effectively manage multiple employees with diverse personalities and engage them to perform at optimum levels. Must be able to clearly speak, read and write English. Allied Universal provides unparalleled service, systems and solutions to the people and business of our communities, and is North America's leading security services provider. With over 200,000 employees, Allied Universal delivers high-quality, tailored solutions, which allows clients to focus on their core business. For more information: www.AUS.com.We proudly support the Veteran Jobs Mission, a group of over 200 companies that have committed to collectively hiring a total of one million military veterans. EOE/Minorities/Females/Vet/Disability Allied Universal Services is an Equal Opportunity Employer committed to hiring a diverse workforce.CB-NWSAJ#ZRGAD-NW"
